SIGUNGU,NO,Latitude,Longitude
강남구,1,37.5172363,127.0473248
강동구,2,37.5301251,127.1237841
강북구,3,37.6399385,127.0257321
강서구,4,37.5509643,126.8494143
관악구,5,37.4784064,126.9515938
광진구,6,37.5385165,127.0822933
구로구,7,37.4954856,126.8877447
금천구,8,37.4564093,126.8954111
노원구,9,37.6541912,127.0564063
도봉구,10,37.6687686,127.0336585
동대문구,11,37.5743653,127.0395318
동작구,12,37.5129843,126.9413151
마포구,13,37.566324,126.901401
서대문구,14,37.579017,126.93693
서초구,15,37.483573,127.032671
성동구,16,37.563517,127.037683
성북구,17,37.606747,127.023441
송파구,18,37.504853,127.114548
양천구,19,37.527061,126.856432
영등포구,20,37.524071,126.896331
용산구,21,37.533097,126.981073
은평구,22,37.602944,126.926825
종로구,23,37.573275,126.979686
중구,24,37.563144,126.997664
중랑구,25,37.595056,127.085737
